fecha;anio;mes;dia;hora;barra;tension;valor
01/09/2025;2025;9;1;1;ATACAMA_______220;220;54,67965
01/09/2025;2025;9;1;1;ATACAMA_______220;220;54,49449
01/09/2025;2025;9;1;1;ATACAMA_______220;220;57,29493
01/09/2025;2025;9;1;1;ATACAMA_______220;220;58,45648
01/09/2025;2025;9;1;1;ATACAMA_______220;220;65,81002
01/09/2025;2025;9;1;1;ATACAMA_______220;220;62,49035
01/09/2025;2025;9;1;1;CARDONES______220;220;54,67965
01/09/2025;2025;9;1;1;CARDONES______220;220;54,49449
01/09/2025;2025;9;1;1;CARDONES______220;220;57,29493
01/09/2025;2025;9;1;1;CARDONES______220;220;58,45648
01/09/2025;2025;9;1;1;CARDONES______220;220;65,81002
01/09/2025;2025;9;1;1;CARDONES______220;220;62,49035
01/09/2025;2025;9;1;1;CHARRUA_______220;220;54,67965
01/09/2025;2025;9;1;1;CHARRUA_______220;220;54,49449
01/09/2025;2025;9;1;1;CHARRUA_______220;220;57,29493
01/09/2025;2025;9;1;1;CHARRUA_______220;220;58,45648
01/09/2025;2025;9;1;1;CHARRUA_______220;220;65,81002
01/09/2025;2025;9;1;1;CHARRUA_______220;220;62,49035
01/09/2025;2025;9;1;1;CRUCERO_______220;220;54,67965
01/09/2025;2025;9;1;1;CRUCERO_______220;220;54,49449
01/09/2025;2025;9;1;1;CRUCERO_______220;220;57,29493
01/09/2025;2025;9;1;1;CRUCERO_______220;220;58,45648
01/09/2025;2025;9;1;1;CRUCERO_______220;220;65,81002
01/09/2025;2025;9;1;1;CRUCERO_______220;220;62,49035
01/09/2025;2025;9;1;1;P.AZUCAR______220;220;54,67965
01/09/2025;2025;9;1;1;P.AZUCAR______220;220;54,49449
01/09/2025;2025;9;1;1;P.AZUCAR______220;220;57,29493
01/09/2025;2025;9;1;1;P.AZUCAR______220;220;58,45648
01/09/2025;2025;9;1;1;P.AZUCAR______220;220;65,81002
01/09/2025;2025;9;1;1;P.AZUCAR______220;220;62,49035
01/09/2025;2025;9;1;1;P.MONTT_______220;220;54,67965
01/09/2025;2025;9;1;1;P.MONTT_______220;220;54,49449
01/09/2025;2025;9;1;1;P.MONTT_______220;220;57,29493
01/09/2025;2025;9;1;1;P.MONTT_______220;220;58,45648
01/09/2025;2025;9;1;1;P.MONTT_______220;220;65,81002
01/09/2025;2025;9;1;1;P.MONTT_______220;220;62,49035
01/09/2025;2025;9;1;1;QUILLOTA______220;220;54,67965
01/09/2025;2025;9;1;1;QUILLOTA______220;220;54,49449
01/09/2025;2025;9;1;1;QUILLOTA______220;220;57,29493
01/09/2025;2025;9;1;1;QUILLOTA______220;220;58,45648
01/09/2025;2025;9;1;1;QUILLOTA______220;220;65,81002
01/09/2025;2025;9;1;1;QUILLOTA______220;220;62,49035
01/09/2025;2025;9;1;1;TARAPACA______220;220;54,67965
01/09/2025;2025;9;1;1;TARAPACA______220;220;54,49449
01/09/2025;2025;9;1;1;TARAPACA______220;220;57,29493
01/09/2025;2025;9;1;1;TARAPACA______220;220;58,45648
01/09/2025;2025;9;1;1;TARAPACA______220;220;65,81002
01/09/2025;2025;9;1;1;TARAPACA______220;220;62,49035
01/09/2025;2025;9;1;2;ATACAMA_______220;220;62,39887
01/09/2025;2025;9;1;2;CARDONES______220;220;62,39887
01/09/2025;2025;9;1;2;CHARRUA_______220;220;62,39887
01/09/2025;2025;9;1;2;CRUCERO_______220;220;62,39887
01/09/2025;2025;9;1;2;P.AZUCAR______220;220;62,39887
01/09/2025;2025;9;1;2;P.MONTT_______220;220;62,39887
01/09/2025;2025;9;1;2;QUILLOTA______220;220;62,39887
01/09/2025;2025;9;1;2;TARAPACA______220;220;62,39887
01/09/2025;2025;9;1;3;ATACAMA_______220;220;54,38704
01/09/2025;2025;9;1;3;ATACAMA_______220;220;63,20365
01/09/2025;2025;9;1;3;CARDONES______220;220;54,38704
01/09/2025;2025;9;1;3;CARDONES______220;220;63,20365
01/09/2025;2025;9;1;3;CHARRUA_______220;220;54,38704
01/09/2025;2025;9;1;3;CHARRUA_______220;220;63,20365
01/09/2025;2025;9;1;3;CRUCERO_______220;220;54,38704
01/09/2025;2025;9;1;3;CRUCERO_______220;220;63,20365
01/09/2025;2025;9;1;3;P.AZUCAR______220;220;54,38704
01/09/2025;2025;9;1;3;P.AZUCAR______220;220;63,20365
01/09/2025;2025;9;1;3;P.MONTT_______220;220;54,38704
01/09/2025;2025;9;1;3;P.MONTT_______220;220;63,20365
01/09/2025;2025;9;1;3;QUILLOTA______220;220;54,38704
01/09/2025;2025;9;1;3;QUILLOTA______220;220;63,20365
01/09/2025;2025;9;1;3;TARAPACA______220;220;54,38704
01/09/2025;2025;9;1;3;TARAPACA______220;220;63,20365
01/09/2025;2025;9;1;4;ATACAMA_______220;220;58,53552
01/09/2025;2025;9;1;4;CARDONES______220;220;58,53552
01/09/2025;2025;9;1;4;CHARRUA_______220;220;58,53552
01/09/2025;2025;9;1;4;CRUCERO_______220;220;58,53552
01/09/2025;2025;9;1;4;P.AZUCAR______220;220;58,53552
01/09/2025;2025;9;1;4;P.MONTT_______220;220;58,53552
01/09/2025;2025;9;1;4;QUILLOTA______220;220;58,53552
01/09/2025;2025;9;1;4;TARAPACA______220;220;58,53552
01/09/2025;2025;9;1;6;ATACAMA_______220;220;64,34251
01/09/2025;2025;9;1;6;CARDONES______220;220;64,34251
01/09/2025;2025;9;1;6;CHARRUA_______220;220;64,34251
01/09/2025;2025;9;1;6;CRUCERO_______220;220;64,34251
01/09/2025;2025;9;1;6;P.AZUCAR______220;220;64,34251
01/09/2025;2025;9;1;6;P.MONTT_______220;220;64,34251
01/09/2025;2025;9;1;6;QUILLOTA______220;220;64,34251
01/09/2025;2025;9;1;6;TARAPACA______220;220;64,34251
