fecha;anio;mes;dia;hora;barra;tension;valor
01/04/2025;2025;4;1;1;ATACAMA_______220;220;89,88575
01/04/2025;2025;4;1;1;CARDONES______220;220;88,45418
01/04/2025;2025;4;1;1;CHARRUA_______220;220;81,75949
01/04/2025;2025;4;1;1;CRUCERO_______220;220;91,71311
01/04/2025;2025;4;1;1;P.AZUCAR______220;220;86,34051
01/04/2025;2025;4;1;1;P.MONTT_______220;220;31,76756
01/04/2025;2025;4;1;1;QUILLOTA______220;220;84,21
01/04/2025;2025;4;1;1;TARAPACA______220;220;99,66254
01/04/2025;2025;4;1;2;ATACAMA_______220;220;80,57898
01/04/2025;2025;4;1;2;ATACAMA_______220;220;77,16591
01/04/2025;2025;4;1;2;CARDONES______220;220;79,1311
01/04/2025;2025;4;1;2;CARDONES______220;220;76,31803
01/04/2025;2025;4;1;2;CHARRUA_______220;220;73,21952
01/04/2025;2025;4;1;2;CHARRUA_______220;220;70,89685
01/04/2025;2025;4;1;2;CRUCERO_______220;220;82,25943
01/04/2025;2025;4;1;2;CRUCERO_______220;220;79,20303
01/04/2025;2025;4;1;2;P.AZUCAR______220;220;77,18808
01/04/2025;2025;4;1;2;P.AZUCAR______220;220;74,58122
01/04/2025;2025;4;1;2;QUILLOTA______220;220;75,02
01/04/2025;2025;4;1;2;QUILLOTA______220;220;72,67
01/04/2025;2025;4;1;2;TARAPACA______220;220;89,17627
01/04/2025;2025;4;1;2;TARAPACA______220;220;85,7942
01/04/2025;2025;4;1;3;ATACAMA_______220;220;67,83429
01/04/2025;2025;4;1;3;CARDONES______220;220;66,89019
01/04/2025;2025;4;1;3;CHARRUA_______220;220;62,40576
01/04/2025;2025;4;1;3;CRUCERO_______220;220;69,22491
01/04/2025;2025;4;1;3;P.AZUCAR______220;220;65,52509
01/04/2025;2025;4;1;3;QUILLOTA______220;220;63,79
01/04/2025;2025;4;1;3;TARAPACA______220;220;74,95963
01/04/2025;2025;4;1;4;ATACAMA_______220;220;77,16591
01/04/2025;2025;4;1;4;CARDONES______220;220;77,11014
01/04/2025;2025;4;1;4;CHARRUA_______220;220;70,63524
01/04/2025;2025;4;1;4;CRUCERO_______220;220;80,24948
01/04/2025;2025;4;1;4;P.AZUCAR______220;220;75,30065
01/04/2025;2025;4;1;4;QUILLOTA______220;220;72,67
01/04/2025;2025;4;1;4;TARAPACA______220;220;86,28109
01/04/2025;2025;4;1;5;ATACAMA_______220;220;68,73373
01/04/2025;2025;4;1;5;CARDONES______220;220;67,59826
01/04/2025;2025;4;1;5;CHARRUA_______220;220;61,97836
01/04/2025;2025;4;1;5;CRUCERO_______220;220;70,07332
01/04/2025;2025;4;1;5;P.AZUCAR______220;220;66,07368
01/04/2025;2025;4;1;5;P.MONTT_______220;220;0,0
01/04/2025;2025;4;1;5;QUILLOTA______220;220;63,79
01/04/2025;2025;4;1;5;TARAPACA______220;220;75,20841
01/04/2025;2025;4;1;6;ATACAMA_______220;220;92,57532
01/04/2025;2025;4;1;6;CARDONES______220;220;89,98227
01/04/2025;2025;4;1;6;CHARRUA_______220;220;81,36964
01/04/2025;2025;4;1;6;CRUCERO_______220;220;93,56877
01/04/2025;2025;4;1;6;P.AZUCAR______220;220;88,0459
01/04/2025;2025;4;1;6;QUILLOTA______220;220;84,19
01/04/2025;2025;4;1;6;TARAPACA______220;220;100,47235
01/04/2025;2025;4;1;7;ATACAMA_______220;220;97,50766
01/04/2025;2025;4;1;7;CARDONES______220;220;96,09964
01/04/2025;2025;4;1;7;CHARRUA_______220;220;88,14205
01/04/2025;2025;4;1;7;CRUCERO_______220;220;99,33354
01/04/2025;2025;4;1;7;P.AZUCAR______220;220;94,88238
01/04/2025;2025;4;1;7;P.MONTT_______220;220;0,0
01/04/2025;2025;4;1;7;P.MONTT_______220;220;102,23134
