fecha;anio;mes;dia;hora;barra;tension;valor
01/07/2025;2025;7;1;1;ATACAMA_______220;220;172,27236
01/07/2025;2025;7;1;1;ATACAMA_______220;220;110,27448
01/07/2025;2025;7;1;1;CARDONES______220;220;172,27236
01/07/2025;2025;7;1;1;CARDONES______220;220;110,27448
01/07/2025;2025;7;1;1;CHARRUA_______220;220;168,93863
01/07/2025;2025;7;1;1;CHARRUA_______220;220;110,27448
01/07/2025;2025;7;1;1;CRUCERO_______220;220;172,27236
01/07/2025;2025;7;1;1;CRUCERO_______220;220;110,27448
01/07/2025;2025;7;1;1;P.AZUCAR______220;220;172,27236
01/07/2025;2025;7;1;1;P.AZUCAR______220;220;110,27448
01/07/2025;2025;7;1;1;P.MONTT_______220;220;172,27236
01/07/2025;2025;7;1;1;P.MONTT_______220;220;110,27448
01/07/2025;2025;7;1;1;QUILLOTA______220;220;172,27236
01/07/2025;2025;7;1;1;QUILLOTA______220;220;110,27448
01/07/2025;2025;7;1;1;TARAPACA______220;220;172,27236
01/07/2025;2025;7;1;1;TARAPACA______220;220;110,27448
01/07/2025;2025;7;1;2;ATACAMA_______220;220;147,46877
01/07/2025;2025;7;1;2;CARDONES______220;220;147,46877
01/07/2025;2025;7;1;2;CHARRUA_______220;220;147,46877
01/07/2025;2025;7;1;2;CRUCERO_______220;220;147,46877
01/07/2025;2025;7;1;2;P.AZUCAR______220;220;147,46877
01/07/2025;2025;7;1;2;P.MONTT_______220;220;147,46877
01/07/2025;2025;7;1;2;QUILLOTA______220;220;147,46877
01/07/2025;2025;7;1;2;TARAPACA______220;220;147,46877
01/07/2025;2025;7;1;3;ATACAMA_______220;220;123,6529
01/07/2025;2025;7;1;3;CARDONES______220;220;123,6529
01/07/2025;2025;7;1;3;CHARRUA_______220;220;123,6529
01/07/2025;2025;7;1;3;CRUCERO_______220;220;123,6529
01/07/2025;2025;7;1;3;P.AZUCAR______220;220;123,6529
01/07/2025;2025;7;1;3;P.MONTT_______220;220;123,6529
01/07/2025;2025;7;1;3;QUILLOTA______220;220;123,6529
01/07/2025;2025;7;1;3;TARAPACA______220;220;123,6529
01/07/2025;2025;7;1;4;ATACAMA_______220;220;113,93955
01/07/2025;2025;7;1;4;CARDONES______220;220;113,93955
01/07/2025;2025;7;1;4;CHARRUA_______220;220;113,93955
01/07/2025;2025;7;1;4;CRUCERO_______220;220;113,93955
01/07/2025;2025;7;1;4;P.AZUCAR______220;220;113,93955
01/07/2025;2025;7;1;4;P.MONTT_______220;220;113,93955
01/07/2025;2025;7;1;4;QUILLOTA______220;220;113,93955
01/07/2025;2025;7;1;4;TARAPACA______220;220;113,93955
01/07/2025;2025;7;1;6;ATACAMA_______220;220;126,259
01/07/2025;2025;7;1;6;CARDONES______220;220;126,259
01/07/2025;2025;7;1;6;CHARRUA_______220;220;126,259
01/07/2025;2025;7;1;6;CRUCERO_______220;220;126,259
01/07/2025;2025;7;1;6;P.AZUCAR______220;220;126,259
01/07/2025;2025;7;1;6;P.MONTT_______220;220;126,259
01/07/2025;2025;7;1;6;QUILLOTA______220;220;126,259
01/07/2025;2025;7;1;6;TARAPACA______220;220;126,259
01/07/2025;2025;7;1;7;ATACAMA_______220;220;179,12131
01/07/2025;2025;7;1;7;CARDONES______220;220;179,12131
01/07/2025;2025;7;1;7;CHARRUA_______220;220;168,93863
01/07/2025;2025;7;1;7;CRUCERO_______220;220;179,12131
01/07/2025;2025;7;1;7;P.AZUCAR______220;220;179,12131
01/07/2025;2025;7;1;7;P.MONTT_______220;220;179,12131
01/07/2025;2025;7;1;7;QUILLOTA______220;220;179,12131
