fecha;anio;mes;dia;hora;barra;tension;valor
01/01/2025;2025;1;1;1;ATACAMA_______220;220;57,86836
01/01/2025;2025;1;1;1;ATACAMA_______220;220;61,72097
01/01/2025;2025;1;1;1;ATACAMA_______220;220;73,94148
01/01/2025;2025;1;1;1;CARDONES______220;220;54,66198
01/01/2025;2025;1;1;1;CARDONES______220;220;58,30114
01/01/2025;2025;1;1;1;CARDONES______220;220;69,03939
01/01/2025;2025;1;1;1;CHARRUA_______220;220;46,66142
01/01/2025;2025;1;1;1;CHARRUA_______220;220;49,76793
01/01/2025;2025;1;1;1;CHARRUA_______220;220;57,62641
01/01/2025;2025;1;1;1;CRUCERO_______220;220;57,16152
01/01/2025;2025;1;1;1;CRUCERO_______220;220;60,96708
01/01/2025;2025;1;1;1;CRUCERO_______220;220;73,30427
01/01/2025;2025;1;1;1;P.AZUCAR______220;220;52,9666
01/01/2025;2025;1;1;1;P.AZUCAR______220;220;56,49288
01/01/2025;2025;1;1;1;P.AZUCAR______220;220;66,51579
01/01/2025;2025;1;1;1;P.MONTT_______220;220;0,0
01/01/2025;2025;1;1;1;QUILLOTA______220;220;51,22
01/01/2025;2025;1;1;1;QUILLOTA______220;220;54,63
01/01/2025;2025;1;1;1;QUILLOTA______220;220;63,09
01/01/2025;2025;1;1;1;TARAPACA______220;220;61,28473
01/01/2025;2025;1;1;1;TARAPACA______220;220;65,3648
01/01/2025;2025;1;1;1;TARAPACA______220;220;78,59121
01/01/2025;2025;1;1;3;ATACAMA_______220;220;72,68599
01/01/2025;2025;1;1;3;CARDONES______220;220;67,6451
01/01/2025;2025;1;1;3;CHARRUA_______220;220;59,15318
01/01/2025;2025;1;1;3;CRUCERO_______220;220;71,76488
01/01/2025;2025;1;1;3;P.AZUCAR______220;220;65,67038
01/01/2025;2025;1;1;3;QUILLOTA______220;220;63,09
01/01/2025;2025;1;1;3;TARAPACA______220;220;75,9162
01/01/2025;2025;1;1;5;ATACAMA_______220;220;63,31617
01/01/2025;2025;1;1;5;CARDONES______220;220;59,0004
01/01/2025;2025;1;1;5;CHARRUA_______220;220;51,07359
01/01/2025;2025;1;1;5;CRUCERO_______220;220;62,56774
01/01/2025;2025;1;1;5;P.AZUCAR______220;220;57,23039
01/01/2025;2025;1;1;5;QUILLOTA______220;220;54,63
01/01/2025;2025;1;1;5;TARAPACA______220;220;66,71962
01/01/2025;2025;1;1;6;ATACAMA_______220;220;70,43299
01/01/2025;2025;1;1;6;CARDONES______220;220;65,85169
01/01/2025;2025;1;1;6;CHARRUA_______220;220;56,57971
01/01/2025;2025;1;1;6;CRUCERO_______220;220;69,5945
01/01/2025;2025;1;1;6;P.AZUCAR______220;220;63,89522
01/01/2025;2025;1;1;6;QUILLOTA______220;220;60,76
01/01/2025;2025;1;1;6;TARAPACA______220;220;74,2791
01/01/2025;2025;1;1;7;ATACAMA_______220;220;62,2081
01/01/2025;2025;1;1;7;ATACAMA_______220;220;58,14715
01/01/2025;2025;1;1;7;CARDONES______220;220;58,64492
01/01/2025;2025;1;1;7;CARDONES______220;220;54,99589
