fecha;anio;mes;dia;hora;barra;tension;valor
01/00/2025;2025;10;1;1;ATACAMA_______220;220;60,2002
01/00/2025;2025;10;1;1;ATACAMA_______220;220;60,61064
01/00/2025;2025;10;1;1;ATACAMA_______220;220;60,38398
01/00/2025;2025;10;1;1;ATACAMA_______220;220;60,38398
01/00/2025;2025;10;1;1;CARDONES______220;220;60,2002
01/00/2025;2025;10;1;1;CARDONES______220;220;60,61064
01/00/2025;2025;10;1;1;CARDONES______220;220;60,38398
01/00/2025;2025;10;1;1;CARDONES______220;220;60,38398
01/00/2025;2025;10;1;1;CHARRUA_______220;220;60,2002
01/00/2025;2025;10;1;1;CHARRUA_______220;220;60,61064
01/00/2025;2025;10;1;1;CHARRUA_______220;220;5,10593
01/00/2025;2025;10;1;1;CRUCERO_______220;220;60,2002
01/00/2025;2025;10;1;1;CRUCERO_______220;220;60,61064
01/00/2025;2025;10;1;1;CRUCERO_______220;220;60,38398
01/00/2025;2025;10;1;1;CRUCERO_______220;220;60,38398
01/00/2025;2025;10;1;1;P.AZUCAR______220;220;60,2002
01/00/2025;2025;10;1;1;P.AZUCAR______220;220;60,61064
01/00/2025;2025;10;1;1;P.AZUCAR______220;220;60,38398
01/00/2025;2025;10;1;1;P.AZUCAR______220;220;60,38398
01/00/2025;2025;10;1;1;P.MONTT_______220;220;0,0
01/00/2025;2025;10;1;1;QUILLOTA______220;220;60,2002
01/00/2025;2025;10;1;1;QUILLOTA______220;220;60,61064
01/00/2025;2025;10;1;1;QUILLOTA______220;220;60,38398
01/00/2025;2025;10;1;1;QUILLOTA______220;220;60,38398
01/00/2025;2025;10;1;1;TARAPACA______220;220;60,2002
01/00/2025;2025;10;1;1;TARAPACA______220;220;60,61064
01/00/2025;2025;10;1;1;TARAPACA______220;220;60,38398
01/00/2025;2025;10;1;1;TARAPACA______220;220;60,38398
01/00/2025;2025;10;1;2;ATACAMA_______220;220;60,44524
01/00/2025;2025;10;1;2;CARDONES______220;220;60,44524
01/00/2025;2025;10;1;2;CHARRUA_______220;220;0,0
01/00/2025;2025;10;1;2;CRUCERO_______220;220;60,44524
01/00/2025;2025;10;1;2;P.AZUCAR______220;220;60,44524
01/00/2025;2025;10;1;2;P.MONTT_______220;220;0,0
01/00/2025;2025;10;1;2;QUILLOTA______220;220;60,44524
01/00/2025;2025;10;1;2;TARAPACA______220;220;60,44524
01/00/2025;2025;10;1;3;ATACAMA_______220;220;59,90615
01/00/2025;2025;10;1;3;ATACAMA_______220;220;60,37173
01/00/2025;2025;10;1;3;CARDONES______220;220;59,90615
01/00/2025;2025;10;1;3;CARDONES______220;220;60,37173
01/00/2025;2025;10;1;3;CRUCERO_______220;220;59,90615
01/00/2025;2025;10;1;3;CRUCERO_______220;220;60,37173
01/00/2025;2025;10;1;3;P.AZUCAR______220;220;59,90615
01/00/2025;2025;10;1;3;P.AZUCAR______220;220;60,37173
01/00/2025;2025;10;1;3;QUILLOTA______220;220;59,90615
01/00/2025;2025;10;1;3;QUILLOTA______220;220;60,37173
01/00/2025;2025;10;1;3;TARAPACA______220;220;59,90615
01/00/2025;2025;10;1;3;TARAPACA______220;220;60,37173
01/00/2025;2025;10;1;4;ATACAMA_______220;220;68,62989
01/00/2025;2025;10;1;4;ATACAMA_______220;220;60,54938
01/00/2025;2025;10;1;4;CARDONES______220;220;68,62989
01/00/2025;2025;10;1;4;CARDONES______220;220;60,54938
01/00/2025;2025;10;1;4;CRUCERO_______220;220;68,62989
01/00/2025;2025;10;1;4;CRUCERO_______220;220;60,54938
01/00/2025;2025;10;1;4;P.AZUCAR______220;220;68,62989
01/00/2025;2025;10;1;4;P.AZUCAR______220;220;60,54938
01/00/2025;2025;10;1;4;QUILLOTA______220;220;68,62989
01/00/2025;2025;10;1;4;QUILLOTA______220;220;60,54938
01/00/2025;2025;10;1;4;TARAPACA______220;220;68,62989
01/00/2025;2025;10;1;4;TARAPACA______220;220;60,54938
01/00/2025;2025;10;1;6;ATACAMA_______220;220;60,40849
01/00/2025;2025;10;1;6;ATACAMA_______220;220;60,28597
01/00/2025;2025;10;1;6;ATACAMA_______220;220;68,85312
01/00/2025;2025;10;1;6;CARDONES______220;220;60,40849
01/00/2025;2025;10;1;6;CARDONES______220;220;60,28597
01/00/2025;2025;10;1;6;CARDONES______220;220;68,85312
01/00/2025;2025;10;1;6;CRUCERO_______220;220;60,40849
01/00/2025;2025;10;1;6;CRUCERO_______220;220;60,28597
01/00/2025;2025;10;1;6;CRUCERO_______220;220;68,85312
01/00/2025;2025;10;1;6;P.AZUCAR______220;220;60,40849
01/00/2025;2025;10;1;6;P.AZUCAR______220;220;60,28597
01/00/2025;2025;10;1;6;P.AZUCAR______220;220;68,85312
01/00/2025;2025;10;1;6;QUILLOTA______220;220;60,40849
01/00/2025;2025;10;1;6;QUILLOTA______220;220;60,28597
01/00/2025;2025;10;1;6;QUILLOTA______220;220;68,85312
01/00/2025;2025;10;1;6;TARAPACA______220;220;60,40849
01/00/2025;2025;10;1;6;TARAPACA______220;220;60,28597
01/00/2025;2025;10;1;6;TARAPACA______220;220;68,85312
01/00/2025;2025;10;1;7;ATACAMA_______220;220;69,27866
01/00/2025;2025;10;1;7;ATACAMA_______220;220;74,98104
01/00/2025;2025;10;1;7;CARDONES______220;220;69,27866
01/00/2025;2025;10;1;7;CARDONES______220;220;74,98104
01/00/2025;2025;10;1;7;CHARRUA_______220;220;69,27866
01/00/2025;2025;10;1;7;CHARRUA_______220;220;74,98104
01/00/2025;2025;10;1;7;CRUCERO_______220;220;69,27866
01/00/2025;2025;10;1;7;CRUCERO_______220;220;74,98104
01/00/2025;2025;10;1;7;P.AZUCAR______220;220;69,27866
01/00/2025;2025;10;1;7;P.AZUCAR______220;220;74,98104
01/00/2025;2025;10;1;7;P.MONTT_______220;220;0,0
01/00/2025;2025;10;1;7;QUILLOTA______220;220;69,27866
01/00/2025;2025;10;1;7;QUILLOTA______220;220;74,98104
01/00/2025;2025;10;1;7;TARAPACA______220;220;69,27866
01/00/2025;2025;10;1;7;TARAPACA______220;220;74,98104
01/00/2025;2025;10;1;8;ATACAMA_______220;220;68,98566
01/00/2025;2025;10;1;8;ATACAMA_______220;220;54,48842
01/00/2025;2025;10;1;8;ATACAMA_______220;220;0,0
01/00/2025;2025;10;1;8;CARDONES______220;220;68,98566
01/00/2025;2025;10;1;8;CARDONES______220;220;54,48842
01/00/2025;2025;10;1;8;CARDONES______220;220;0,0
01/00/2025;2025;10;1;8;CHARRUA_______220;220;68,98566
